Population,LOR
3580,1100101
2034,1100102
5790,1100103
4889,1100104
2917,1100205
1876,1100206
8844,1100207
7297,1100308
12651,1100309
10181,1100310
9787,1100311
10727,1100312
11590,1100313
5513,1100414
13348,1100415
13523,1100416
3924,1200517
7096,1200518
9592,1200519
9513,1200520
5259,1200521
11521,1200522
10990,1200623
6942,1200624
6905,1200625
6079,1200626
3388,1200627
3281,1200628
6039,1200629
8060,1300730
8922,1300731
10078,1300732
11684,1300733
14258,1300834
10821,1300835
14947,1300836
10966,1400937
9681,1400938
6149,1400939
7094,1400940
3863,1400941
8789,1400942
7627,1401043
10226,1401044
5531,1401045
8869,1401046
8206,1401047
9520,1401048
6637,1401049
7225,2100101
8660,2100102
5470,2100103
5550,2100104
9263,2100105
4813,2100106
2666,2200207
5745,2200208
10957,2200209
12350,2200210
14595,2200211
8340,2200212
10004,2200213
7085,2300314
8209,2300315
4160,2300316
8301,2300417
7629,2300418
10396,2300419
5904,2400520
8712,2400521
11394,2400522
14037,2400623
11887,2400624
1328,2400625
9175,2500726
6519,2500727
10073,2500728
5407,2500729
4071,2500830
7857,2500831
9541,2500832
10045,2500833
11299,2500834
8820,2500835
5137,2500836
4720,3100101
3505,3100102
9449,3100103
2423,3200204
9167,3200205
6842,3200206
11799,3200207
5261,3200308
5484,3200309
8088,3200310
11764,3300411
5226,3300412
3195,3300413
6869,3300514
49,3300515
9560,3300516
1088,3300517
4783,3400618
10596,3400619
3506,3400620
11895,3400721
3807,3400722
7507,3400723
8494,3400724
7645,3400725
7222,3400826
9703,3400827
4934,3400828
5968,3400829
9293,3400830
6661,3400831
6659,3500932
7686,3500933
10363,3500934
6799,3500935
10052,3500936
8487,3501037
7506,3501038
4040,3601139
6016,3601140
7057,3601141
10860,3601142
6990,3601243
7614,3601244
13511,3601245
5888,3601346
9495,3601347
7470,3601348
9928,3601449
5449,3601450
6527,3601451
4746,3601452
3391,3601453
11453,3701554
7258,3701555
8598,3701556
3215,3701657
8285,3701658
9477,3701659
12614,3701660
11768,4100101
7878,4100102
1456,4200203
3325,4200204
2522,4200205
2848,4200206
2996,4200207
6113,4200308
6895,4200309
7533,4200310
7424,4200311
4539,4300412
9973,4300413
10581,4300414
6258,4300415
11646,4300416
9468,4300517
6682,4300518
9007,4300619
4118,4300620
10941,4300621
5269,4300622
12187,4300623
9314,4300624
61,4400725
5417,4400726
8322,4400727
3189,4400728
2840,4400729
8457,4400830
1543,4400831
6998,4400832
3901,4400833
3384,4400834
10164,4400835
5621,4500936
